CMDLINE C:\Users\Muping\anaconda3\python.exe main.py
MEM 1088.179688 1676390846.3355
MEM 1088.214844 1676390846.4451
MEM 1088.273438 1676390846.5548
MEM 1088.843750 1676390846.6654
MEM 1088.847656 1676390846.7750
MEM 1088.847656 1676390846.8846
MEM 1089.132812 1676390846.9943
MEM 1089.289062 1676390847.1029
MEM 1089.414062 1676390847.2135
MEM 1089.566406 1676390847.3232
MEM 1090.238281 1676390847.4328
MEM 1090.246094 1676390847.5424
MEM 1090.328125 1676390847.6531
MEM 1090.578125 1676390847.7627
MEM 1090.675781 1676390847.8703
MEM 1090.679688 1676390847.9820
MEM 1091.027344 1676390848.0916
MEM 1091.214844 1676390848.2012
MEM 1091.214844 1676390848.3128
MEM 1091.718750 1676390848.4225
MEM 1091.980469 1676390848.5331
MEM 1091.984375 1676390848.6417
MEM 1092.277344 1676390848.7514
MEM 1092.570312 1676390848.8630
MEM 1092.699219 1676390848.9746
MEM 1092.699219 1676390849.0843
MEM 1092.886719 1676390849.1949
MEM 1093.144531 1676390849.3045
MEM 1093.144531 1676390849.4152
MEM 1093.300781 1676390849.5238
MEM 1093.488281 1676390849.6354
MEM 1093.582031 1676390849.7462
MEM 1093.644531 1676390849.8558
MEM 1094.183594 1676390849.9675
MEM 1094.214844 1676390850.0781
MEM 1094.281250 1676390850.1887
MEM 1094.531250 1676390850.2983
MEM 1094.757812 1676390850.4090
MEM 1094.761719 1676390850.5196
MEM 1094.949219 1676390850.6302
MEM 1095.136719 1676390850.7419
MEM 1095.136719 1676390850.8515
MEM 1095.199219 1676390850.9621
MEM 1095.480469 1676390851.0737
MEM 1095.542969 1676390851.1804
MEM 1095.542969 1676390851.2900
MEM 1095.792969 1676390851.3987
MEM 1095.898438 1676390851.5073
MEM 1095.968750 1676390851.6179
MEM 1096.250000 1676390851.7276
MEM 1096.507812 1676390851.8382
MEM 1096.507812 1676390851.9498
MEM 1096.824219 1676390852.0595
MEM 1097.078125 1676390852.1701
MEM 1097.304688 1676390852.2807
MEM 1097.308594 1676390852.3893
MEM 1097.558594 1676390852.5000
MEM 1097.914062 1676390852.6106
MEM 1097.921875 1676390852.7212
MEM 1098.093750 1676390852.8309
MEM 1098.312500 1676390852.9425
MEM 1098.312500 1676390853.0511
MEM 1098.628906 1676390853.1608
MEM 1099.035156 1676390853.2724
MEM 1099.070312 1676390853.3810
MEM 1099.132812 1676390853.4927
MEM 1099.445312 1676390853.6013
MEM 1099.562500 1676390853.7099
MEM 1099.562500 1676390853.8196
MEM 1099.828125 1676390853.9302
MEM 1100.132812 1676390854.0398
MEM 1100.515625 1676390854.1495
MEM 1100.578125 1676390854.2591
MEM 1100.863281 1676390854.3697
MEM 1100.863281 1676390854.4804
MEM 1100.894531 1676390854.5900
MEM 1101.171875 1676390854.6986
MEM 1101.261719 1676390854.8073
MEM 1101.261719 1676390854.9162
MEM 1101.289062 1676390855.0248
MEM 1101.570312 1676390855.1345
MEM 1101.898438 1676390855.2421
MEM 1101.898438 1676390855.3537
MEM 1102.351562 1676390855.4644
MEM 1102.562500 1676390855.5730
MEM 1102.562500 1676390855.6826
MEM 1102.585938 1676390855.7913
MEM 1102.832031 1676390855.9019
MEM 1102.968750 1676390856.0105
MEM 1103.003906 1676390856.1182
MEM 1103.226562 1676390856.2278
MEM 1103.472656 1676390856.3384
MEM 1103.476562 1676390856.4491
MEM 1103.601562 1676390856.5587
MEM 1104.003906 1676390856.6683
MEM 1104.003906 1676390856.7780
MEM 1104.289062 1676390856.8846
MEM 1104.671875 1676390856.9933
MEM 1104.773438 1676390857.1019
MEM 1104.777344 1676390857.2105
MEM 1104.867188 1676390857.3192
MEM 1105.128906 1676390857.4298
MEM 1105.164062 1676390857.5394
MEM 1105.164062 1676390857.6491
MEM 1105.335938 1676390857.7567
MEM 1105.539062 1676390857.8683
MEM 1105.792969 1676390857.9780
MEM 1106.078125 1676390858.0866
MEM 1106.355469 1676390858.1952
MEM 1106.410156 1676390858.3049
MEM 1106.667969 1676390858.4155
MEM 1106.863281 1676390858.5261
MEM 1107.152344 1676390858.6358
MEM 1107.152344 1676390858.7454
MEM 1107.152344 1676390858.8520
MEM 1107.593750 1676390858.9607
MEM 1107.718750 1676390859.0693
MEM 1107.718750 1676390859.1799
MEM 1107.769531 1676390859.2896
MEM 1108.531250 1676390859.3992
MEM 1108.539062 1676390859.5089
MEM 1108.542969 1676390859.6185
MEM 1108.738281 1676390859.7261
MEM 1108.929688 1676390859.8358
MEM 1108.929688 1676390859.9464
MEM 1108.929688 1676390860.0570
MEM 1108.929688 1676390860.1647
MEM 1108.929688 1676390860.2733
MEM 1108.929688 1676390860.3829
MEM 1109.132812 1676390860.4926
MEM 1109.132812 1676390860.6032
MEM 1109.136719 1676390860.7098
MEM 1109.265625 1676390860.8195
MEM 1109.390625 1676390860.9301
MEM 1109.390625 1676390861.0397
MEM 1109.390625 1676390861.1496
MEM 1109.390625 1676390861.2602
MEM 1109.390625 1676390861.3698
MEM 1109.457031 1676390861.4795
MEM 1109.457031 1676390861.5881
MEM 1109.460938 1676390861.6977
MEM 1109.460938 1676390861.8054
MEM 1109.460938 1676390861.9140
MEM 1109.460938 1676390862.0217
MEM 1109.460938 1676390862.1323
MEM 1109.523438 1676390862.2389
MEM 1109.523438 1676390862.3466
MEM 1109.523438 1676390862.4552
MEM 1109.648438 1676390862.5648
MEM 1109.777344 1676390862.6725
MEM 1109.781250 1676390862.7831
MEM 1109.816406 1676390862.8937
MEM 1110.031250 1676390863.0044
MEM 1110.031250 1676390863.1140
MEM 1110.285156 1676390863.2236
MEM 1110.453125 1676390863.3343
MEM 1110.554688 1676390863.4439
MEM 1110.808594 1676390863.5545
MEM 1110.980469 1676390863.6622
MEM 1111.171875 1676390863.7718
MEM 1111.171875 1676390863.8814
MEM 1111.867188 1676390863.9901
MEM 1112.117188 1676390864.0997
MEM 1112.179688 1676390864.2103
MEM 1112.179688 1676390864.3200
MEM 1112.304688 1676390864.4303
MEM 1112.453125 1676390864.5399
MEM 1112.453125 1676390864.6496
MEM 1112.457031 1676390864.7592
MEM 1112.750000 1676390864.8678
MEM 1112.937500 1676390864.9775
MEM 1112.937500 1676390865.0881
MEM 1112.937500 1676390865.1957
MEM 1113.187500 1676390865.3044
MEM 1113.312500 1676390865.4140
MEM 1113.312500 1676390865.5236
MEM 1113.359375 1676390865.6333
MEM 1113.582031 1676390865.7419
MEM 1113.585938 1676390865.8515
MEM 1113.613281 1676390865.9612
MEM 1113.851562 1676390866.0708
MEM 1113.953125 1676390866.1804
MEM 1113.953125 1676390866.2911
MEM 1114.355469 1676390866.4017
MEM 1114.582031 1676390866.5093
MEM 1114.613281 1676390866.6180
MEM 1114.867188 1676390866.7266
MEM 1115.121094 1676390866.8382
MEM 1115.160156 1676390866.9479
MEM 1115.160156 1676390867.0555
MEM 1115.691406 1676390867.1652
MEM 1115.878906 1676390867.2758
MEM 1115.878906 1676390867.3854
MEM 1115.941406 1676390867.4960
MEM 1116.253906 1676390867.6047
MEM 1116.343750 1676390867.7153
MEM 1116.347656 1676390867.8249
MEM 1116.472656 1676390867.9326
MEM 1116.667969 1676390868.0432
MEM 1116.667969 1676390868.1548
MEM 1116.789062 1676390868.2655
MEM 1117.039062 1676390868.3761
MEM 1117.039062 1676390868.4857
MEM 1117.292969 1676390868.5964
MEM 1117.542969 1676390868.7070
MEM 1117.957031 1676390868.8186
MEM 1118.242188 1676390868.9292
MEM 1118.621094 1676390869.0389
MEM 1118.804688 1676390869.1495
MEM 1118.804688 1676390869.2601
MEM 1118.898438 1676390869.3698
MEM 1119.246094 1676390869.4804
MEM 1119.246094 1676390869.5900
MEM 1119.246094 1676390869.7017
MEM 1119.566406 1676390869.8123
MEM 1119.691406 1676390869.9209
MEM 1119.691406 1676390870.0316
MEM 1120.085938 1676390870.1422
MEM 1120.300781 1676390870.2528
MEM 1120.300781 1676390870.3644
MEM 1120.445312 1676390870.4741
MEM 1121.007812 1676390870.5847
MEM 1121.007812 1676390870.6953
MEM 1121.070312 1676390870.8060
MEM 1121.355469 1676390870.9166
MEM 1121.449219 1676390871.0272
MEM 1121.449219 1676390871.1359
MEM 1121.785156 1676390871.2455
MEM 1122.347656 1676390871.3551
MEM 1122.347656 1676390871.4648
MEM 1122.480469 1676390871.5744
MEM 1122.984375 1676390871.6840
MEM 1122.988281 1676390871.7948
MEM 1122.988281 1676390871.9024
MEM 1123.367188 1676390872.0140
MEM 1123.429688 1676390872.1227
MEM 1123.429688 1676390872.2343
MEM 1123.574219 1676390872.3459
MEM 1123.855469 1676390872.4546
MEM 1123.867188 1676390872.5652
MEM 1124.000000 1676390872.6760
MEM 1124.261719 1676390872.7876
MEM 1124.265625 1676390872.8982
MEM 1124.265625 1676390873.0069
MEM 1124.773438 1676390873.1175
MEM 1124.964844 1676390873.2271
MEM 1125.218750 1676390873.3358
MEM 1125.660156 1676390873.4454
MEM 1126.132812 1676390873.5550
MEM 1126.132812 1676390873.6657
MEM 1126.199219 1676390873.7773
MEM 1126.449219 1676390873.8879
MEM 1126.449219 1676390873.9976
MEM 1126.449219 1676390874.1062
MEM 1126.699219 1676390874.2168
MEM 1127.269531 1676390874.3265
MEM 1127.269531 1676390874.4351
MEM 1127.425781 1676390874.5457
MEM 1127.769531 1676390874.6554
MEM 1127.773438 1676390874.7660
MEM 1127.835938 1676390874.8776
MEM 1128.089844 1676390874.9862
MEM 1128.089844 1676390875.0979
MEM 1128.089844 1676390875.2095
MEM 1128.339844 1676390875.3191
MEM 1128.402344 1676390875.4298
MEM 1128.402344 1676390875.5394
MEM 1128.847656 1676390875.6498
MEM 1129.324219 1676390875.7604
MEM 1129.324219 1676390875.8700
MEM 1129.386719 1676390875.9797
MEM 1129.644531 1676390876.0903
MEM 1129.644531 1676390876.1999
MEM 1129.644531 1676390876.3116
MEM 1129.957031 1676390876.4232
MEM 1130.121094 1676390876.5348
MEM 1130.125000 1676390876.6464
MEM 1130.625000 1676390876.7562
MEM 1130.750000 1676390876.8679
MEM 1130.750000 1676390876.9775
MEM 1131.421875 1676390877.0881
MEM 1131.609375 1676390877.1978
MEM 1131.609375 1676390877.3094
MEM 1131.671875 1676390877.4190
MEM 1131.921875 1676390877.5287
MEM 1131.933594 1676390877.6403
MEM 1131.937500 1676390877.7519
MEM 1132.273438 1676390877.8635
MEM 1132.781250 1676390877.9732
MEM 1132.781250 1676390878.0838
MEM 1132.906250 1676390878.1934
MEM 1133.382812 1676390878.3041
MEM 1133.382812 1676390878.4157
MEM 1133.445312 1676390878.5253
MEM 1133.734375 1676390878.6360
MEM 1133.753906 1676390878.7466
MEM 1134.007812 1676390878.8572
MEM 1134.246094 1676390878.9669
MEM 1134.343750 1676390879.0765
MEM 1134.343750 1676390879.1871
MEM 1134.343750 1676390879.2988
MEM 1134.343750 1676390879.4084
MEM 1134.343750 1676390879.5180
MEM 1134.343750 1676390879.6296
MEM 1134.347656 1676390879.7403
MEM 1134.347656 1676390879.8519
MEM 1134.601562 1676390879.9615
MEM 1134.601562 1676390880.0722
MEM 1134.601562 1676390880.1818
MEM 1134.855469 1676390880.2894
MEM 1134.855469 1676390880.3991
MEM 1134.855469 1676390880.5077
MEM 1134.855469 1676390880.6173
MEM 1134.855469 1676390880.7280
MEM 1134.859375 1676390880.8356
MEM 1134.859375 1676390880.9462
MEM 1135.113281 1676390881.0559
MEM 1135.113281 1676390881.1655
MEM 1135.113281 1676390881.2751
MEM 1135.113281 1676390881.3858
MEM 1135.117188 1676390881.4954
MEM 1135.125000 1676390881.6040
MEM 1135.128906 1676390881.7127
MEM 1135.207031 1676390881.8243
MEM 1135.207031 1676390881.9339
MEM 1135.207031 1676390882.0436
MEM 1135.273438 1676390882.1522
MEM 1135.394531 1676390882.2638
MEM 1135.648438 1676390882.3725
MEM 1135.773438 1676390882.4841
MEM 1136.214844 1676390882.5937
MEM 1136.214844 1676390882.7034
MEM 1136.218750 1676390882.8130
MEM 1136.406250 1676390882.9246
MEM 1136.468750 1676390883.0343
MEM 1136.468750 1676390883.1449
MEM 1136.656250 1676390883.2545
MEM 1136.781250 1676390883.3651
MEM 1136.781250 1676390883.4748
MEM 1136.906250 1676390883.5845
MEM 1137.156250 1676390883.6941
MEM 1137.160156 1676390883.8037
MEM 1137.414062 1676390883.9153
MEM 1137.664062 1676390884.0260
MEM 1137.726562 1676390884.1376
MEM 1137.980469 1676390884.2492
MEM 1138.398438 1676390884.3599
MEM 1138.546875 1676390884.4685
MEM 1138.546875 1676390884.5801
MEM 1138.675781 1676390884.6898
MEM 1138.925781 1676390884.8004
MEM 1139.179688 1676390884.9100
MEM 1139.179688 1676390885.0187
MEM 1139.492188 1676390885.1293
MEM 1139.492188 1676390885.2399
MEM 1139.492188 1676390885.3496
MEM 1139.742188 1676390885.4602
MEM 1139.804688 1676390885.5688
MEM 1139.937500 1676390885.6794
MEM 1140.125000 1676390885.7901
MEM 1140.312500 1676390885.9007
MEM 1140.312500 1676390886.0113
MEM 1140.375000 1676390886.1220
MEM 1140.878906 1676390886.2326
MEM 1140.878906 1676390886.3422
MEM 1140.878906 1676390886.4519
MEM 1141.128906 1676390886.5629
MEM 1141.195312 1676390886.6725
MEM 1141.195312 1676390886.7822
MEM 1141.382812 1676390886.8938
MEM 1141.570312 1676390887.0044
MEM 1141.570312 1676390887.1151
MEM 1141.632812 1676390887.2257
MEM 1141.882812 1676390887.3353
MEM 1141.882812 1676390887.4450
MEM 1142.136719 1676390887.5546
MEM 1142.644531 1676390887.6662
MEM 1142.769531 1676390887.7749
MEM 1142.769531 1676390887.8835
MEM 1142.957031 1676390887.9941
MEM 1143.144531 1676390888.1018
MEM 1143.175781 1676390888.2114
MEM 1143.175781 1676390888.3200
MEM 1143.488281 1676390888.4307
MEM 1143.519531 1676390888.5403
MEM 1143.523438 1676390888.6499
MEM 1143.773438 1676390888.7580
MEM 1143.835938 1676390888.8687
MEM 1144.089844 1676390888.9773
MEM 1144.468750 1676390889.0860
MEM 1144.718750 1676390889.1936
MEM 1144.718750 1676390889.3042
MEM 1144.972656 1676390889.4139
MEM 1145.285156 1676390889.5215
MEM 1145.378906 1676390889.6321
MEM 1145.378906 1676390889.7428
MEM 1145.851562 1676390889.8524
MEM 1145.921875 1676390889.9620
MEM 1145.921875 1676390890.0717
MEM 1146.355469 1676390890.1803
MEM 1146.542969 1676390890.2899
MEM 1146.734375 1676390890.4016
MEM 1146.796875 1676390890.5102
MEM 1147.433594 1676390890.6208
MEM 1147.433594 1676390890.7305
